Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Sales,Profit
ORD00048,2025-01-15 06:26:43.336113427,Perfume,Beauty,South,5,64.52,322.6,33.77
ORD00049,2025-01-15 13:43:53.194328607,Chair,Furniture,North,6,753.22,4519.32,293.69
ORD00050,2025-01-15 21:01:03.052543786,Jeans,Clothing,South,4,410.47,1641.88,135.85
ORD00051,2025-01-16 04:18:12.910758965,T-Shirt,Clothing,South,6,333.44,2000.64,403.13
ORD00052,2025-01-16 11:35:22.768974145,T-Shirt,Clothing,North,4,650.59,2602.36,682.76
ORD00053,2025-01-16 18:52:32.627189324,T-Shirt,Clothing,North,4,670.3,2681.2,164.22
ORD00054,2025-01-17 02:09:42.485404503,Perfume,Beauty,North,1,272.43,272.43,63.62
ORD00055,2025-01-17 09:26:52.343619683,Notebook,Office Supplies,West,7,557.96,3905.72,528.56
ORD00056,2025-01-17 16:44:02.201834862,Smartphone,Electronics,North,1,619.19,619.19,105.03
ORD00057,2025-01-18 00:01:12.060050041,Shoes,Clothing,North,3,527.17,1581.51,446.33
ORD00058,2025-01-18 07:18:21.918265221,Bookshelf,Furniture,North,4,129.76,519.04,69.03
ORD00059,2025-01-18 14:35:31.776480400,Jacket,Clothing,North,5,701.95,3509.75,583.79
ORD00060,2025-01-18 21:52:41.634695579,Chair,Furniture,East,7,435.88,3051.16,162.99
ORD00061,2025-01-19 05:09:51.492910759,Desk,Furniture,West,2,233.15,466.3,32.83
ORD00062,2025-01-19 12:27:01.351125938,Jacket,Clothing,South,3,345.93,1037.79,118.98
ORD00063,2025-01-19 19:44:11.209341117,Perfume,Beauty,North,1,39.68,39.68,2.26
ORD00064,2025-01-20 03:01:21.067556297,Desk,Furniture,East,6,111.01,666.06,138.44
ORD00065,2025-01-20 10:18:30.925771476,Chair,Furniture,East,3,614.78,1844.34,288.82
ORD00066,2025-01-20 17:35:40.783986655,Jacket,Clothing,East,3,10.01,30.03,5.62
ORD00067,2025-01-21 00:52:50.642201835,Chair,Furniture,South,7,339.09,2373.63,222.32
ORD00068,2025-01-21 08:10:00.500417014,Chair,Furniture,North,3,422.78,1268.34,157.25
ORD00069,2025-01-21 15:27:10.358632193,Jacket,Clothing,West,3,53.16,159.48,34.44
ORD00070,2025-01-21 22:44:20.216847372,Jacket,Clothing,West,2,778.73,1557.46,453.73
ORD00071,2025-01-22 06:01:30.075062552,Monitor,Electronics,East,6,188.64,1131.84,70.86
ORD00072,2025-01-22 13:18:39.933277731,Makeup,Beauty,South,6,250.32,1501.92,409.42
ORD00073,2025-01-22 20:35:49.791492910,Perfume,Beauty,South,6,250.11,1500.66,291.46
ORD00074,2025-01-23 03:52:59.649708090,Bookshelf,Furniture,South,4,192.03,768.12,146.7
ORD00075,2025-01-23 11:10:09.507923269,Makeup,Beauty,West,5,11.16,55.8,9.77
ORD00076,2025-01-23 18:27:19.366138448,Desk,Furniture,East,6,586.18,3517.08,236.87
ORD00077,2025-01-24 01:44:29.224353628,Smartphone,Electronics,North,3,773.81,2321.43,168.23
ORD00078,2025-01-24 09:01:39.082568807,Jeans,Clothing,West,3,187.19,561.57,112.44
ORD00079,2025-01-24 16:18:48.940783986,Shoes,Clothing,East,6,533.81,3202.86,433.15
ORD00080,2025-01-24 23:35:58.798999166,Jacket,Clothing,East,7,596.1,4172.7,1165.51
ORD00081,2025-01-25 06:53:08.657214345,Skincare,Beauty,North,6,680.26,4081.56,618.96
ORD00082,2025-01-25 14:10:18.515429524,Smartphone,Electronics,North,3,343.88,1031.64,88.54
ORD00083,2025-01-25 21:27:28.373644704,Makeup,Beauty,North,4,249.32,997.28,228.06
ORD00084,2025-01-26 04:44:38.231859883,Makeup,Beauty,South,1,266.98,266.98,32.93
ORD00085,2025-01-26 12:01:48.090075062,Laptop,Electronics,North,1,572.97,572.97,103.92
ORD00086,2025-01-26 19:18:57.948290242,Laptop,Electronics,East,6,655.26,3931.56,882.47
ORD00087,2025-01-27 02:36:07.806505421,Monitor,Electronics,North,2,153.48,306.96,84.43
ORD00088,2025-01-27 09:53:17.664720600,Headphones,Electronics,East,6,303.04,1818.24,451.01
ORD00089,2025-01-27 17:10:27.522935780,T-Shirt,Clothing,West,7,722.53,5057.71,1108.1
ORD00090,2025-01-28 00:27:37.381150959,Stapler,Office Supplies,South,6,647.29,3883.74,854.07
ORD00091,2025-01-28 07:44:47.239366138,Notebook,Office Supplies,West,1,788.04,788.04,225.76
ORD00092,2025-01-28 15:01:57.097581318,Headphones,Electronics,West,3,605.86,1817.58,225.3
ORD00093,2025-01-28 22:19:06.955796497,Printer,Office Supplies,East,6,320.62,1923.72,96.72
ORD00094,2025-01-29 05:36:16.814011676,Notebook,Office Supplies,West,3,476.6,1429.8,168.7
ORD00095,2025-01-29 12:53:26.672226855,Headphones,Electronics,East,3,532.2,1596.6,166.8
ORD00096,2025-01-29 20:10:36.530442035,Stapler,Office Supplies,North,2,71.98,143.96,31.02
ORD00097,2025-01-30 03:27:46.388657214,Skincare,Beauty,North,3,440.15,1320.45,275.22
ORD00098,2025-01-30 10:44:56.246872393,Chair,Furniture,East,1,570.36,570.36,113.14
ORD00099,2025-01-30 18:02:06.105087573,Table,Furniture,North,4,142.18,568.72,30.75
ORD00100,2025-01-31 01:19:15.963302752,Smartphone,Electronics,South,4,626.7,2506.8,582.07
ORD00101,2025-01-31 08:36:25.821517931,Shoes,Clothing,West,5,471.18,2355.9,308.35
ORD00102,2025-01-31 15:53:35.679733111,Laptop,Electronics,South,7,762.26,5335.82,1153.95
ORD00103,2025-01-31 23:10:45.537948290,Shoes,Clothing,West,6,43.51,261.06,49.38
ORD00104,2025-02-01 06:27:55.396163469,Bookshelf,Furniture,North,7,219.61,1537.27,208.58
ORD00105,2025-02-01 13:45:05.254378649,Monitor,Electronics,South,1,485.23,485.23,40.59
ORD00106,2025-02-01 21:02:15.112593828,Skincare,Beauty,North,3,244.28,732.84,53.94
ORD00107,2025-02-02 04:19:24.970809007,Stapler,Office Supplies,West,4,574.4,2297.6,592.5
ORD00108,2025-02-02 11:36:34.829024187,Jeans,Clothing,East,7,609.61,4267.27,1193.13
ORD00109,2025-02-02 18:53:44.687239366,Stapler,Office Supplies,East,1,90.99,90.99,19.33
ORD00110,2025-02-03 02:10:54.545454545,Printer,Office Supplies,South,4,415.95,1663.8,126.21
ORD00111,2025-02-03 09:28:04.403669725,Headphones,Electronics,North,3,412.02,1236.06,186.04
ORD00112,2025-02-03 16:45:14.261884904,Printer,Office Supplies,North,7,301.73,2112.11,490.51
ORD00113,2025-02-04 00:02:24.120100083,Makeup,Beauty,South,4,747.01,2988.04,731.94
ORD00114,2025-02-04 07:19:33.978315263,Notebook,Office Supplies,East,6,663.73,3982.38,316.82
ORD00115,2025-02-04 14:36:43.836530442,Smartphone,Electronics,West,6,560.8,3364.8,168.27
ORD00116,2025-02-04 21:53:53.694745621,Hair Care,Beauty,South,5,574.32,2871.6,654.82
ORD00117,2025-02-05 05:11:03.552960800,Desk,Furniture,West,5,374.76,1873.8,260.74
ORD00118,2025-02-05 12:28:13.411175980,Printer,Office Supplies,East,4,737.59,2950.36,335.22
ORD00119,2025-02-05 19:45:23.269391159,Smartphone,Electronics,North,1,558.73,558.73,29.74
ORD00120,2025-02-06 03:02:33.127606338,Bookshelf,Furniture,East,6,585.9,3515.4,650.61
ORD00121,2025-02-06 10:19:42.985821518,Table,Furniture,South,1,690.74,690.74,181.52
ORD00122,2025-02-06 17:36:52.844036697,Jeans,Clothing,North,1,226.52,226.52,65.56
ORD00123,2025-02-07 00:54:02.702251876,Perfume,Beauty,South,4,647.59,2590.36,495.89
ORD00124,2025-02-07 08:11:12.560467056,Notebook,Office Supplies,South,1,164.24,164.24,29.34
ORD00125,2025-02-07 15:28:22.418682235,Headphones,Electronics,East,6,282.82,1696.92,120.93
ORD00126,2025-02-07 22:45:32.276897414,Jeans,Clothing,South,3,275.13,825.39,154.53
ORD00127,2025-02-08 06:02:42.135112594,Hair Care,Beauty,East,5,783.04,3915.2,567.68
ORD00128,2025-02-08 13:19:51.993327773,Jeans,Clothing,North,3,686.66,2059.98,415.67
ORD00129,2025-02-08 20:37:01.851542952,Makeup,Beauty,East,1,563.92,563.92,83.0
ORD00130,2025-02-09 03:54:11.709758132,Makeup,Beauty,North,3,584.37,1753.11,192.97
ORD00131,2025-02-09 11:11:21.567973311,Printer,Office Supplies,East,6,454.04,2724.24,200.89
ORD00132,2025-02-09 18:28:31.426188490,Makeup,Beauty,West,6,758.2,4549.2,585.62
ORD00133,2025-02-10 01:45:41.284403670,Jeans,Clothing,West,1,402.04,402.04,29.82
ORD00134,2025-02-10 09:02:51.142618849,Makeup,Beauty,South,4,310.61,1242.44,117.07
ORD00135,2025-02-10 16:20:01.000834028,Notebook,Office Supplies,East,3,138.8,416.4,123.6
ORD00136,2025-02-10 23:37:10.859049207,Notebook,Office Supplies,East,4,631.1,2524.4,406.49
ORD00137,2025-02-11 06:54:20.717264387,T-Shirt,Clothing,North,4,590.21,2360.84,431.96
ORD00138,2025-02-11 14:11:30.575479566,Bookshelf,Furniture,South,2,313.64,627.28,168.36
ORD00139,2025-02-11 21:28:40.433694745,Bookshelf,Furniture,East,1,29.9,29.9,8.94
ORD00140,2025-02-12 04:45:50.291909925,Skincare,Beauty,South,5,672.81,3364.05,658.27
ORD00141,2025-02-12 12:03:00.150125104,Headphones,Electronics,West,6,19.02,114.12,28.89
ORD00142,2025-02-12 19:20:10.008340283,Makeup,Beauty,East,6,565.92,3395.52,447.31
ORD00143,2025-02-13 02:37:19.866555463,Jeans,Clothing,East,1,776.5,776.5,98.18
ORD00144,2025-02-13 09:54:29.724770642,Jeans,Clothing,South,7,355.75,2490.25,375.22
ORD00145,2025-02-13 17:11:39.582985821,Jeans,Clothing,East,7,195.63,1369.41,298.71
ORD00146,2025-02-14 00:28:49.441201001,T-Shirt,Clothing,South,7,566.85,3967.95,875.12
ORD00147,2025-02-14 07:45:59.299416180,Jacket,Clothing,East,5,655.53,3277.65,422.19
ORD00148,2025-02-14 15:03:09.157631359,Stapler,Office Supplies,North,6,441.68,2650.08,220.76
ORD00149,2025-02-14 22:20:19.015846539,Table,Furniture,South,1,773.96,773.96,161.06
ORD00150,2025-02-15 05:37:28.874061718,T-Shirt,Clothing,East,6,50.82,304.92,25.03
ORD00151,2025-02-15 12:54:38.732276897,Monitor,Electronics,West,4,408.79,1635.16,318.24
ORD00152,2025-02-15 20:11:48.590492077,Monitor,Electronics,East,3,577.58,1732.74,387.02
ORD00153,2025-02-16 03:28:58.448707256,Monitor,Electronics,West,3,691.49,2074.47,467.07
ORD00154,2025-02-16 10:46:08.306922435,Monitor,Electronics,West,6,151.61,909.66,216.83
ORD00155,2025-02-16 18:03:18.165137614,Pen Set,Office Supplies,North,2,642.0,1284.0,344.39
ORD00156,2025-02-17 01:20:28.023352794,Monitor,Electronics,South,5,446.64,2233.2,390.79
ORD00157,2025-02-17 08:37:37.881567973,Jeans,Clothing,East,7,323.28,2262.96,526.28
ORD00158,2025-02-17 15:54:47.739783152,Skincare,Beauty,North,5,114.05,570.25,116.78
ORD00159,2025-02-17 23:11:57.597998332,Headphones,Electronics,East,5,693.58,3467.9,335.21
ORD00160,2025-02-18 06:29:07.456213511,Stapler,Office Supplies,West,4,134.25,537.0,30.3
ORD00161,2025-02-18 13:46:17.314428690,Pen Set,Office Supplies,South,5,254.73,1273.65,154.28
ORD00162,2025-02-18 21:03:27.172643870,Monitor,Electronics,East,3,239.14,717.42,115.33
ORD00163,2025-02-19 04:20:37.030859049,Perfume,Beauty,East,4,698.42,2793.68,570.68
ORD00164,2025-02-19 11:37:46.889074228,Laptop,Electronics,West,1,541.44,541.44,142.12
ORD00165,2025-02-19 18:54:56.747289408,Stapler,Office Supplies,East,5,639.38,3196.9,316.69
ORD00166,2025-02-20 02:12:06.605504587,Table,Furniture,East,5,207.87,1039.35,84.59
ORD00167,2025-02-20 09:29:16.463719766,Shoes,Clothing,West,1,503.65,503.65,146.5
ORD00168,2025-02-20 16:46:26.321934946,Stapler,Office Supplies,North,5,461.68,2308.4,177.77
ORD00169,2025-02-21 00:03:36.180150125,Laptop,Electronics,West,1,667.94,667.94,113.3
ORD00170,2025-02-21 07:20:46.038365304,T-Shirt,Clothing,North,4,725.81,2903.24,570.17
ORD00171,2025-02-21 14:37:55.896580484,Smartphone,Electronics,South,3,19.6,58.8,10.9
ORD00172,2025-02-21 21:55:05.754795663,Laptop,Electronics,North,1,542.48,542.48,38.79
ORD00173,2025-02-22 05:12:15.613010842,Table,Furniture,North,2,50.95,101.9,6.55
ORD00174,2025-02-22 12:29:25.471226022,Jeans,Clothing,South,1,443.6,443.6,33.88
ORD00175,2025-02-22 19:46:35.329441201,Jeans,Clothing,North,5,237.23,1186.15,232.96
ORD00176,2025-02-23 03:03:45.187656380,Desk,Furniture,West,7,252.35,1766.45,328.71
ORD00177,2025-02-23 10:20:55.045871560,Stapler,Office Supplies,North,7,288.84,2021.88,219.24
ORD00178,2025-02-23 17:38:04.904086739,Headphones,Electronics,South,4,500.82,2003.28,419.57
ORD00179,2025-02-24 00:55:14.762301918,Makeup,Beauty,West,6,273.9,1643.4,419.09
ORD00180,2025-02-24 08:12:24.620517098,Laptop,Electronics,South,4,588.83,2355.32,142.25
ORD00181,2025-02-24 15:29:34.478732277,Laptop,Electronics,South,6,329.58,1977.48,345.13
ORD00182,2025-02-24 22:46:44.336947456,Stapler,Office Supplies,East,7,64.0,448.0,99.6
ORD00183,2025-02-25 06:03:54.195162636,Monitor,Electronics,East,7,629.17,4404.19,498.02
ORD00184,2025-02-25 13:21:04.053377815,Desk,Furniture,South,1,235.75,235.75,29.93
ORD00185,2025-02-25 20:38:13.911592994,Table,Furniture,South,3,351.89,1055.67,214.73
ORD00186,2025-02-26 03:55:23.769808174,Jeans,Clothing,South,2,551.5,1103.0,302.76
ORD00187,2025-02-26 11:12:33.628023353,Skincare,Beauty,East,4,272.64,1090.56,275.35
ORD00188,2025-02-26 18:29:43.486238532,Smartphone,Electronics,East,5,54.7,273.5,53.55
ORD00189,2025-02-27 01:46:53.344453711,Monitor,Electronics,North,6,305.4,1832.4,426.13
ORD00190,2025-02-27 09:04:03.202668891,Notebook,Office Supplies,North,5,756.11,3780.55,533.83
ORD00191,2025-02-27 16:21:13.060884070,Bookshelf,Furniture,South,3,516.97,1550.91,326.07
ORD00192,2025-02-27 23:38:22.919099249,Perfume,Beauty,West,6,540.47,3242.82,540.08
ORD00193,2025-02-28 06:55:32.777314429,T-Shirt,Clothing,West,4,509.5,2038.0,198.67
ORD00194,2025-02-28 14:12:42.635529608,Desk,Furniture,East,1,167.2,167.2,37.69
ORD00195,2025-02-28 21:29:52.493744787,T-Shirt,Clothing,East,5,340.48,1702.4,321.95
ORD00196,2025-03-01 04:47:02.351959967,Notebook,Office Supplies,East,3,603.24,1809.72,252.74
ORD00197,2025-03-01 12:04:12.210175146,Printer,Office Supplies,South,4,90.08,360.32,100.11
ORD00198,2025-03-01 19:21:22.068390325,Headphones,Electronics,West,7,229.5,1606.5,88.73
ORD00199,2025-03-02 02:38:31.926605505,Skincare,Beauty,North,7,228.29,1598.03,206.06
ORD00200,2025-03-02 09:55:41.784820684,T-Shirt,Clothing,South,4,351.29,1405.16,90.24
ORD00201,2025-03-02 17:12:51.643035863,Chair,Furniture,North,4,784.49,3137.96,758.23
ORD00202,2025-03-03 00:30:01.501251043,Pen Set,Office Supplies,North,4,63.33,253.32,57.13
ORD00203,2025-03-03 07:47:11.359466222,Headphones,Electronics,South,6,419.77,2518.62,334.57
ORD00204,2025-03-03 15:04:21.217681401,Monitor,Electronics,North,4,151.7,606.8,132.84
ORD00205,2025-03-03 22:21:31.075896581,Jeans,Clothing,West,5,776.83,3884.15,578.68
ORD00206,2025-03-04 05:38:40.934111760,Pen Set,Office Supplies,North,3,99.51,298.53,71.37
ORD00207,2025-03-04 12:55:50.792326939,Perfume,Beauty,West,6,328.84,1973.04,322.68
ORD00208,2025-03-04 20:13:00.650542118,Stapler,Office Supplies,West,4,592.93,2371.72,363.04
ORD00209,2025-03-05 03:30:10.508757298,Jeans,Clothing,West,2,566.6,1133.2,321.47
ORD00210,2025-03-05 10:47:20.366972477,Jacket,Clothing,East,2,343.96,687.92,77.54
ORD00211,2025-03-05 18:04:30.225187656,Printer,Office Supplies,North,3,283.75,851.25,68.2
ORD00212,2025-03-06 01:21:40.083402836,Jacket,Clothing,South,7,324.11,2268.77,444.99
ORD00213,2025-03-06 08:38:49.941618015,Printer,Office Supplies,South,1,218.78,218.78,63.96
ORD00214,2025-03-06 15:55:59.799833194,Bookshelf,Furniture,North,1,172.21,172.21,24.88
ORD00215,2025-03-06 23:13:09.658048374,Pen Set,Office Supplies,East,7,391.6,2741.2,179.57
ORD00216,2025-03-07 06:30:19.516263553,Printer,Office Supplies,East,6,222.14,1332.84,179.7
ORD00217,2025-03-07 13:47:29.374478732,Shoes,Clothing,West,6,237.09,1422.54,251.05
ORD00218,2025-03-07 21:04:39.232693912,T-Shirt,Clothing,North,6,528.84,3173.04,287.1
ORD00219,2025-03-08 04:21:49.090909091,Monitor,Electronics,North,1,775.14,775.14,166.29
ORD00220,2025-03-08 11:38:58.949124270,Smartphone,Electronics,South,2,486.87,973.74,291.57
ORD00221,2025-03-08 18:56:08.807339450,Table,Furniture,North,1,70.81,70.81,11.54
ORD00222,2025-03-09 02:13:18.665554629,Headphones,Electronics,East,5,69.71,348.55,48.34
ORD00223,2025-03-09 09:30:28.523769808,Notebook,Office Supplies,North,4,761.62,3046.48,457.51
ORD00224,2025-03-09 16:47:38.381984988,Jeans,Clothing,South,6,244.86,1469.16,115.75
ORD00225,2025-03-10 00:04:48.240200167,Smartphone,Electronics,West,2,82.73,165.46,44.81
ORD00226,2025-03-10 07:21:58.098415346,Smartphone,Electronics,South,3,483.25,1449.75,222.84
ORD00227,2025-03-10 14:39:07.956630526,Chair,Furniture,South,3,502.68,1508.04,221.41
ORD00228,2025-03-10 21:56:17.814845705,Bookshelf,Furniture,West,4,522.32,2089.28,449.03
ORD00229,2025-03-11 05:13:27.673060884,Printer,Office Supplies,South,2,221.25,442.5,71.02
ORD00230,2025-03-11 12:30:37.531276063,Shoes,Clothing,South,1,21.94,21.94,4.65
ORD00231,2025-03-11 19:47:47.389491243,Desk,Furniture,North,1,772.36,772.36,50.48
ORD00232,2025-03-12 03:04:57.247706422,Smartphone,Electronics,North,5,208.21,1041.05,263.83
ORD00233,2025-03-12 10:22:07.105921601,Jeans,Clothing,West,5,544.06,2720.3,775.63
ORD00234,2025-03-12 17:39:16.964136781,Jeans,Clothing,North,1,568.24,568.24,120.58
ORD00235,2025-03-13 00:56:26.822351960,Headphones,Electronics,North,3,491.91,1475.73,425.96
ORD00236,2025-03-13 08:13:36.680567139,Table,Furniture,South,6,257.2,1543.2,135.58
ORD00237,2025-03-13 15:30:46.538782319,Headphones,Electronics,East,3,224.17,672.51,113.89
ORD00238,2025-03-13 22:47:56.396997498,Shoes,Clothing,North,5,482.16,2410.8,483.25
ORD00239,2025-03-14 06:05:06.255212677,Perfume,Beauty,East,4,694.22,2776.88,542.7
ORD00240,2025-03-14 13:22:16.113427857,Skincare,Beauty,North,1,757.92,757.92,113.96
ORD00241,2025-03-14 20:39:25.971643036,Pen Set,Office Supplies,North,5,93.67,468.35,63.0
ORD00242,2025-03-15 03:56:35.829858215,Laptop,Electronics,West,5,132.31,661.55,54.05
ORD00243,2025-03-15 11:13:45.688073395,Headphones,Electronics,West,6,756.34,4538.04,671.34
ORD00244,2025-03-15 18:30:55.546288574,Printer,Office Supplies,West,1,591.86,591.86,53.66
ORD00245,2025-03-16 01:48:05.404503753,Pen Set,Office Supplies,East,6,707.57,4245.42,991.69
ORD00246,2025-03-16 09:05:15.262718933,Printer,Office Supplies,South,1,170.08,170.08,17.38
ORD00247,2025-03-16 16:22:25.120934112,Jacket,Clothing,North,6,474.19,2845.14,183.91
ORD00248,2025-03-16 23:39:34.979149291,Smartphone,Electronics,North,3,563.9,1691.7,318.19
ORD00249,2025-03-17 06:56:44.837364470,Jeans,Clothing,North,4,547.29,2189.16,435.22
ORD00250,2025-03-17 14:13:54.695579650,Stapler,Office Supplies,East,4,332.44,1329.76,356.35
ORD00251,2025-03-17 21:31:04.553794829,Smartphone,Electronics,West,1,22.16,22.16,4.3
ORD00252,2025-03-18 04:48:14.412010008,Shoes,Clothing,South,2,470.51,941.02,128.33
ORD00253,2025-03-18 12:05:24.270225188,Jeans,Clothing,East,7,209.95,1469.65,368.52
ORD00254,2025-03-18 19:22:34.128440367,Notebook,Office Supplies,West,5,365.7,1828.5,338.4
ORD00255,2025-03-19 02:39:43.986655546,Smartphone,Electronics,East,5,766.49,3832.45,267.58
ORD00256,2025-03-19 09:56:53.844870726,Notebook,Office Supplies,South,1,325.24,325.24,62.27
ORD00257,2025-03-19 17:14:03.703085905,Laptop,Electronics,West,6,673.44,4040.64,1119.28
ORD00258,2025-03-20 00:31:13.561301084,Perfume,Beauty,East,2,158.95,317.9,47.39
ORD00259,2025-03-20 07:48:23.419516264,Chair,Furniture,South,3,541.24,1623.72,201.47
ORD00260,2025-03-20 15:05:33.277731443,Table,Furniture,North,6,781.84,4691.04,402.81
ORD00261,2025-03-20 22:22:43.135946622,Bookshelf,Furniture,South,6,90.5,543.0,47.71
ORD00262,2025-03-21 05:39:52.994161802,Printer,Office Supplies,North,1,16.57,16.57,2.62
ORD00263,2025-03-21 12:57:02.852376981,Skincare,Beauty,East,1,352.53,352.53,70.13
ORD00264,2025-03-21 20:14:12.710592160,Smartphone,Electronics,West,5,83.17,415.85,29.17
ORD00265,2025-03-22 03:31:22.568807340,Shoes,Clothing,West,1,601.22,601.22,171.28
ORD00266,2025-03-22 10:48:32.427022519,Smartphone,Electronics,East,1,732.49,732.49,174.91
ORD00267,2025-03-22 18:05:42.285237698,Jeans,Clothing,West,1,352.88,352.88,69.4
ORD00268,2025-03-23 01:22:52.143452877,Laptop,Electronics,West,5,214.38,1071.9,275.6
ORD00269,2025-03-23 08:40:02.001668057,Makeup,Beauty,North,3,353.18,1059.54,74.22
ORD00270,2025-03-23 15:57:11.859883236,Jacket,Clothing,East,3,581.52,1744.56,295.2
ORD00271,2025-03-23 23:14:21.718098415,Pen Set,Office Supplies,South,7,17.15,120.05,24.91
ORD00272,2025-03-24 06:31:31.576313595,Laptop,Electronics,North,7,475.67,3329.69,856.27
ORD00273,2025-03-24 13:48:41.434528774,Smartphone,Electronics,East,1,494.5,494.5,121.58
ORD00274,2025-03-24 21:05:51.292743953,T-Shirt,Clothing,North,7,513.77,3596.39,428.93
ORD00275,2025-03-25 04:23:01.150959133,Notebook,Office Supplies,South,5,201.2,1006.0,286.93
ORD00276,2025-03-25 11:40:11.009174312,Notebook,Office Supplies,South,3,574.1,1722.3,139.66
ORD00277,2025-03-25 18:57:20.867389491,Perfume,Beauty,East,6,82.2,493.2,132.56
